Photo URL,Date,Text
https://t.me/CheMed123\photos/photo_12@12-10-2022_17-14-19.jpg,2022-10-12T17:14:52,“ ከ ነ ማ  ፋ ር ማ ሲ ዎ ች  ድ ር ጅ ት  እ ና  ክ ፍ ያ  ፋ ይ ና ን ሺ ያ ል  ቴ ክ ኖ ሎ ጂ ስ  ኃ . የ ተ . የ ግ . ማ ፡  የ መ ድ ኃ ኒ ት  ዘ ር ፍ  ዲ ጂ ታ ላ ይ ዜ ሽ ን  አ ጋ ር ነ ት  ተ ፈ ራ ረ ሙ ”   የ ክ ፍ ያ  ፋ ይ ና ን ሺ ያ ል  ቴ ክ ኖ ሎ ጂ ስ  እ ና  ከ ነ ማ  ፋ ር ማ ሲ ዎ ች  ድ ር ጅ ት  በ ሚ ከ ተ ሉ ት  ነ ጥ ቦ ች  ላ ይ  በ ት ብ ብ ር  ለ መ ስ ራ ት  የ ጋ ራ  መ ግ ባ ቢ ያ  ሰ ነ ድ  ተ ፈ ራ ር መ ዋ ል ፡ ፡  ይ ህ  ት ብ ብ ር ፤   1 .  ከ ነ ማ  ፋ ር ማ ሲ ዎ ች  ድ ር ጅ ት ን  የ ኢ ን ቬ ን ቶ ሪ ና  የ ን ብ ረ ት  አ ስ ተ ዳ ደ ር  ስ ር ዓ ቱ ን  ዲ ጂ ታ ል  ለ ማ ድ ረ ግ  የ ሚ ያ ደ ር ገ ው ን  ጥ ረ ት  ለ ማ ገ ዝ ፣  2 .  የ መ ድ ሃ ኒ ት  ግ ዢ  ሂ ደ ት ን  በ ማ ዘ መ ን  በ መ ረ ጃ  ላ ይ  እ ና  በ ፍ ላ ጎ ት  ላ ይ  የ ተ መ ሰ ረ ተ  ለ ማ ድ ረ ግ ;  3 .  የ ዲ ጂ ታ ል  መ ድ ሃ ኒ ት  ግ ብ ይ ት ና  ዴ ሊ ቨ ሪ ን  የ ሚ ያ ሳ ል ጥ  መ ተ ግ በ ሪ ያ ን  ማ ቅ ረ ብ ን  ያ ካ ት ታ ል ፡ ፡   ይ ህ  አ ጋ ር ነ ት  ከ ነ ማ  ፋ ር ማ ሲ ዎ ች ዎ ች  ድ ር ጅ ት ድ ር ጅ ት  የ ሚ ገ ኝ በ ት ን  የ ለ ው ጥ  ሂ ደ ት  የ ሚ ደ ግ ፍ  እ ና  ደ ን በ ኞ ች  C h e m e d  መ ተ ግ በ ሪ ያ ን  በ መ ጠ ቀ ም  ከ ከ ነ ማ  ፋ ር ማ ሲ ዎ ች  በ ቀ ላ ሉ  እ ና  በ ተ መ ቻ ቸ  ሁ ኔ ታ  መ ድ ሀ ኒ ቶ ች ን  እ ን ዲ ያ ገ ኙ  የ ሚ ያ ስ ች ል  ነ ው ።
https://t.me/CheMed123\photos/photo_14@17-10-2022_17-02-40.jpg,2022-10-17T17:02:40,በ ሀ ኪ ም  የ ታ ዘ ዙ  መ ድ ሀ ኒ ቶ ች ፤  ያ ለ ሀ ኪ ም  ት እ ዛ ዝ  የ ሚ ሸ ጡ  የ ህ መ ም  ማ ስ ታ ገ ሻ  መ ድ ሀ ኒ ቶ ች ፡  ሰ ው ነ ት  ለ መ ገ ን ባ ት /  ለ ማ ዳ በ ር  የ ሚ ረ ዱ  መ ድ ሀ ኒ ቶ ች ፡ እ ን ዲ ሁ ም  እ ን ደ  ስ ኳ ር  መ ጠ ን  መ ለ ኪ ያ  ያ ሉ  የ ህ ክ ም ና  መ ሳ ሪ ያ ዎ ች ን  በ ሰ ከ ን ዶ ች  ፍ ጥ ነ ት  በ ስ ል ክ ዎ  ር ቀ ት  እ ና ገ ኝ ል ዎ ታ ለ ን ፡ ፡  የ መ ድ ሀ ኒ ቱ ን  ስ ሪ ት ፤  ሀ ገ ር ፤  ዋ ጋ  አ ማ ር ጠ ው  ማ ዘ ዝ  ይ ች ላ ሉ ፡ ፡
https://t.me/CheMed123\photos/photo_15@18-10-2022_10-57-36.jpg,2022-10-18T10:57:36,"በቤት ውስጥ የደም ግፊት መጠን መለካትና ለውጦችን በመመዝገብ መከታተል የህክምና ባለሙያዎች በቀላሉ መረጃ ላይ ተመስርተው የመድሃኒትዎን መጠን ለማስተካከል ወይም  ለመለወጥ እንዲወስኑ ይረዳል።

ባቀረብንልዎ ቅናሽ በመጠቀም የራስዎን እና የቤተሰብዎን የደም ግፊት መጠን በየቀኑ ይከታተሉ።"
https://t.me/CheMed123\photos/photo_16@20-10-2022_15-24-01.jpg,2022-10-20T15:24:01,"የስኳር መጠንዎ ስንት ነው?  

የደም ውስጥ የስኳር መጠንዎን በቤትዎ ይለኩ ፣ ይከታተሉ ፣ ጤናዎን ይጠብቁ፡፡ 

ባቀረብንልዎ ቅናሽ በመጠቀም የራስዎን እና የቤተሰብዎን የስኳር መጠን በቅርበት ይከታተሉ። +251 91 260 3463"
https://t.me/CheMed123\photos/photo_17@24-10-2022_12-34-19.jpg,2022-10-24T12:34:19,"የደም ኦክስጅን መጠን መለኪያ መሳሪያዎች በቅናሽ ዋጋ አቅርበንልዎታል፡፡ 

ለተጨማሪ መረጃ  ይደውሉ... ይዘዙን... ባሉበት ቦታ እናደርሳለን"
https://t.me/CheMed123\photos/photo_18@28-10-2022_09-49-36.jpg,2022-10-28T09:49:36,"ለጤና ባለሙያዎች የቀረበ  አብሮ የመስራት ጥሪ

ታካሚዎች በየቀኑ በጤና ባለሙያ የታዘዙላቸዉን መድሀኒት ለማግኘት ብዙ ችግሮችን ይጋፈጣሉ፡፡

ከ CheMed ጋር አብሮ በመስራት ታካሚዎችዎ መድሀኒት በቀላሉ እንዲያገኙ ያግዙ፡፡

የቀረበዉን ፎርም በመሙላት ይመዝገቡ የቢዝነስ አጋር ይሁኑ፡፡"
https://t.me/CheMed123\photos/photo_19@28-10-2022_12-15-09.jpg,2022-10-28T12:15:09,"ለተሟላ የተመጣጠነ ምግብ ፍላጎትዎ Ensure Vanilla Supplements

ከ20 በላይ አጥንት ለማጠንከር፣ ጡንቻዎችን ለማዳበር እና የበሽታ መከላከያ አቅም ለማሳደግ የሚረዱ ንጥረነገሮች የበለጸገ

በተመጣጣኝ ዋጋ ከ CheMed 

ለተጨማሪ መረጃ +251 91 260 3463

ይደውሉ... ይዘዙን... ያሉበት ቦታ እናደርሳለን"
https://t.me/CheMed123\photos/photo_20@29-10-2022_23-26-28.jpg,2022-10-29T23:26:28,
https://t.me/CheMed123\photos/photo_21@09-11-2022_11-53-25.jpg,2022-11-09T11:53:25,የ24 ሰዓት የመድሀኒት ዴሊቨሪ አገልግሎት ከ CheMed
https://t.me/CheMed123\photos/photo_22@15-11-2022_08-24-41.jpg,2022-11-15T08:24:41,"መድሀኒት ቤትዎ ድረስ! 

መድሀኒት በመፈለግ ጊዜዎንና ጉልበትዎን አያባክኑ:: ድረገጻችንን በመጠቀም መድኃኒት ከፈለጉት ቦታ ይዘዙ ያሉበት ቦታ እናደርስልዎታለን፡፡ 

30 ደቂቃ፡ በሃኪም የታዘዘልዎትን መድሃኒት ቤትዎ
ለማድረሰ የሚፈጅብን ጊዜ ነው፡፡  The delivery fee is fixed at 100 ETB"
https://t.me/CheMed123\photos/photo_23@15-11-2022_11-17-41.jpg,2022-11-15T11:17:41,
https://t.me/CheMed123\photos/photo_24@15-11-2022_14-51-16.jpg,2022-11-15T14:51:16,"ቫይታሚን ሲ ለሰውነውታችን በጣም አስፈላጊ ብዙ የጤና ጠቀሜታዎች የሚሰጥ ንጥረ ነገር ነው፡፡ 

NAT C የበሽታ መከላከል አቅምን የሚያጎለብት ብቻ ሳይሆን ጤናማ ቆዳ፣ ጠንካራ ድድ እና ጡንቻዎችን እንዲኖረን ያግዛል። 

በተመጣጣኝ ዋጋ ከ CheMed 

ለተጨማሪ መረጃ +251 91 260 3463

ይደውሉ... ይዘዙን... ያሉበት ቦታ እናደርሳለን"
https://t.me/CheMed123\photos/photo_25@22-11-2022_11-15-47.jpg,2022-11-22T11:15:47,"ለተሟላ የተመጣጠነ ምግብ ፍላጎትዎ Ensure Vanilla Supplements

ከ20 በላይ አጥንት ለማጠንከር፣ ጡንቻዎችን ለማዳበር እና የበሽታ መከላከያ አቅም ለማሳደግ የሚረዱ ንጥረነገሮች የበለጸገ

በተመጣጣኝ ዋጋ ከ CheMed 

ለተጨማሪ መረጃ +251 91 260 3463

ይደውሉ... ይዘዙን... ያሉበት ቦታ እናደርሳለን"
https://t.me/CheMed123\photos/photo_26@29-11-2022_10-43-06.jpg,2022-11-29T10:43:06,የኢንሱሊን ሲሪንጅ በቅናሽ ከChe-Med ይዘዙ። ካሉበት ቦታ ሆነው ይዘዙ ያሉበት ቦታ እናደርስልዎታለን።
https://t.me/CheMed123\photos/photo_27@30-11-2022_09-31-44.jpg,2022-11-30T09:31:44,"ራሴን በጣም ስላመመኝ ቶሎ እንዲሻለኝ አራት ፓራሴታሞል በአንድ ጊዜ ዋጥኩበት!
እንደዚህ ያሉ አባባሎች በአካባቢያችን የተለመዱ ናቸው።
ጠንከር ያለ ህመም ሲኖር ከማዘዣ ውጪ የሚገዙ የህመም ማስታገሻ መድሃኒቶችን ፋርማሲስቶች ከመከርዎ መጠን በላይ መውሰድ ጎጂ ላይመስልዎ ይችላል። 
እውነታው ግን እነዚህ የህመም ማስታገሻ መድሃኒቶች ከመጠን በላይ ከተወሰዱ ለጤና ጎጂ ሊሆኑ ይችላሉ።
በፋርማሲስቶች የሚመከረው የመድሃኒት መጠን በጥንቃቄና በሳይንቲፊክ ምርምር ለሰውነታችን በቂ መሆኑ የተረጋገጠ ነወ።
ሆኖም ከማዘዣ ውጪ የሚገዙ የህመም ማስታገሻ መድሃኒቶችን ከመጠን በላይ መውሰድ ከጥቅሙ ይልቅ ለመድሃኒቶች የጎንዮሽ ጉዳት ብሎም ለከፋ ህመም ሊዳርጉን ይችላሉ።
ነገር ግን ከማዘዣ ውጪ የሚገዙ የህመም ማስታገሻ መድሃኒቶችን ወስደው የህመም ስሜትዎ ካልቀነሰ በተለያዩ ምክንያቶች ሊሆን ስለሚችል የሚወስዱትን የመድሃኒት መጠን ከመጨመርዎ በፊት የጤና ባለሙያ ማማከር ብልህነት ነው።

ለተጨማሪ መረጃ"
https://t.me/CheMed123\photos/photo_28@01-12-2022_09-47-22.jpg,2022-12-01T09:47:22,"በChe-Med መድሃትዎን በማዘዝ ረጅም ሰልፍ በመሰለፍ የሚያባክኑትን ጊዜና ጉልበት ያስቀሩ!
ለተጨማሪ መረጃ  ይደውሉ ይዘዙን። ባሉበት ቦታ እናደርሳለን።"
https://t.me/CheMed123\photos/photo_29@02-12-2022_09-06-12.jpg,2022-12-02T09:06:12,Order your Antipains from Che-Med. It will be delivered to you with in 30 minutes.
https://t.me/CheMed123\photos/photo_30@02-12-2022_16-44-41.jpg,2022-12-02T16:44:41,የChe-Med የመድሃኒት መረጃ ማዕከል በቅርብ ቀን!
https://t.me/CheMed123\photos/photo_31@04-12-2022_15-35-18.jpg,2022-12-04T15:35:18,
https://t.me/CheMed123\photos/photo_32@05-12-2022_08-57-22.jpg,2022-12-05T08:57:22,A n t i b i o t i c s  a r e  t h e  c u r e  f o r  e v e r y  d i s e a s e !  Y o u  m a y  h a v e  h e a r d  t h e  m i s c o n c e p t i o n  t h a t  a n t i b i o t i c s  a r e  a  c u r e - a l l  -  b u t  t h i s  i s  s i m p l y  n o t  t r u e .   f a c t s  A n t i b i o t i c s  o n l y  h e l p  b a c t e r i a l  i n f e c t i o n s .   M o s t  i l l n e s s e s  s u c h  a s  t h e  c o m m o n  c o l d  a n d  s o r e  t h r o a t  a r e  c a u s e d  b y  v i r u s e s  t h a t  d o  n o t  r e s p o n d  t o  a n t i b i o t i c s .
https://t.me/CheMed123\photos/photo_33@07-12-2022_09-43-48.jpg,2022-12-07T09:43:48,Che-Med is the best way to find your meds. Call center_ 9798
https://t.me/CheMed123\photos/photo_34@09-12-2022_07-09-49.jpg,2022-12-09T07:09:49,"C h e - M e d  ዛ ሬ  D e c  9 , 2 0 2 2  በ ተ ለ ያ ዩ  የ F M  ጣ ቢ ያ ዎ ች  ራ ሱ ን  ያ ስ ተ ዋ ው ቃ ል  ።   በ ዚ ህ ም  ከ ሚ ሠ ጣ ቸ ው  አ ገ ል ግ ሎ ቶ ች  በ ተ ጨ ማ ሪ  ስ ራ  ስ ለ ጀ መ ረ ው  አ ዲ ሱ  የ መ ድ ሃ ኒ ት  መ ረ ጃ  የ ጥ ሪ  ማ ዕ ከ ላ ች ን  9 7 9 8  ሲ ያ በ ስ ር  ደ ስ ታ  ይ ሠ ማ ዋ ል ።"
https://t.me/CheMed123\photos/photo_35@09-12-2022_15-28-53.jpg,2022-12-09T15:28:53,እኛ በ30 ደቂቃ መድሃኒትዎን እናደርሳለን። Join our telegram channel to join our Che-Med community.
https://t.me/CheMed123\photos/photo_36@13-12-2022_08-55-18.jpg,2022-12-13T08:55:18,"በየወሩ ሚታዘዝልዎትን አስፕሪን መንገላታት ሳይጠበቅብዎት ከChe-Med ይዘዙ።

ለተጨማሪ መረጃ፡
በጥሪ ማዕከላችን 9798 ወይም ያግኙን።"
https://t.me/CheMed123\photos/photo_37@16-12-2022_15-21-01.jpg,2022-12-16T15:21:01,"In the early 20th century, Paul Merab (real name, Petre Merabishvili) was the personal physician of Emperor Menelik II and opened the very first pharmacy in Addis. He was born in 1876 in Ude, South Georgia in a Roman Catholic community.

In 1910 Paul Merab founded the first pharmacy in Addis Ababa which he called Pharmacies de la Georgie (after the country of his birth)."
https://t.me/CheMed123\photos/photo_38@20-12-2022_10-41-33.jpg,2022-12-20T10:41:33,
https://t.me/CheMed123\photos/photo_39@20-12-2022_14-28-59.jpg,2022-12-20T14:28:59,"Order for your children from Che-Med. We will bring to you within 30 minutes.

For additional info:
                     Call us at_"
https://t.me/CheMed123\photos/photo_40@20-12-2022_20-25-05.jpg,2022-12-20T20:25:05,
https://t.me/CheMed123\photos/photo_41@22-12-2022_06-11-26.jpg,2022-12-22T06:11:26,"መድሀኒትዎን ለማግኘት ዘመናዊው መንገድ ነው፡፡ በድረገጻችን አማካኝነት መድኃኒትዎን ከፈለጉት ቦታ ይዘዙ ያሉበት ቦታ መድሃኒትዎን እናደርስልዎታለን፡፡

በተጨማሪም በጥሪ ማዕከላችን በመደወል ስለመድሃኒት መረጃ ይጠይቁ፤ መድሃኒት ይዘዙ  ስለጤናዎ በሐኪሞች የታገዘ የማማከር አገልግሎት ያግኙ፡፡"
https://t.me/CheMed123\photos/photo_42@22-12-2022_09-40-25.jpg,2022-12-22T09:40:25,"ቀጠሮ ያስይዙ!
በ ጥሪ ማዕከላችን በመደወል የግፊት መድሃኒትዎን በየወሩ ለማስመጣት Che-Med ላይ ይመዝገቡ። እኛ ወሩን ጠብቀን መድሃኒትዎን በርዎ ድረስ እናደርሳለን።

Che-Med is the best way to find your meds! *
Follow our telegram channel 👆👆👆👆👆👆👆👆👆"
https://t.me/CheMed123\photos/photo_43@23-12-2022_09-26-15.jpg,2022-12-23T09:26:15,"በ ጥሪ ማዕከላችን በመደወል የዕንቅርት ህመም መቆጣጠርያ መድሃኒት በየወሩ ለማስመጣት Che-Med ላይ ይመዝገቡ። እኛ ወሩን ጠብቀን መድሃኒትዎን በርዎ ድረስ እናደርሳለን።

Che-Med is the best way to find your meds! *
Follow our telegram channel 👆👆👆👆👆👆👆👆👆"
https://t.me/CheMed123\photos/photo_44@27-12-2022_20-06-32.jpg,2022-12-27T20:06:32,"Che-Med

✨Che-Med የመድሀኒትና የህክምና እቃዎች  አፋላጊ እና አቅራቢ ድርጅት ነው፡፡ ከ100 በላይ አጋር ፋርማሲዎች ጋር በመተባበር መድሀኒቶችን ከአጋር ፋርማሲዎች ማሰባሰብ (Pharmaceutical product aggregation), መድሀኒት ፈልጎ ማግኘት(Matchmaking), እና ደንበኞች የፈለጉት ቦታ መድሀኒት/የህክምና እቃዎችን ማድረስ (Delivery) አገልግሎቶችን በቴክኖሎጂ በመታገዝ ይሰጣል፡፡  

✨ደንበኞች በዌብሳይታችን ወይንም በጥሪ ማዕከላችን 9798 በመደወል ስለመድሃኒት መረጃ ማግኘት ይችላሉ፤ መድሃኒት ማዘዝ ይችላሉ አንዲሁም ስለጤናቸው አጠቃላይ የማማከር አገልግሎት ያገኛሉ፡፡

✨ወደ ቴሌግራም ግሩፓችን ለመቀላቀል ከታች ያለውን ሊንክ ይጫኑ።"
https://t.me/CheMed123\photos/photo_45@28-12-2022_09-31-50.jpg,2022-12-28T09:31:50,Order your from Che-Med. 9798 :
https://t.me/CheMed123\photos/photo_46@28-12-2022_20-02-08.jpg,2022-12-28T20:02:08,"Buy you Power Plus supplement from Che-Med.

For more information please watch our tiktok video by pressing the link below.
👇👇👇👇👇👇👇👇👇👇👇👇👇"
https://t.me/CheMed123\photos/photo_47@30-12-2022_18-45-35.jpg,2022-12-30T18:45:35,"Che-Med at Smart city symposium, National science museum.
 
Like share and subscribe our tiktok vlog.
👇👇👇👇👇👇👇👇👇👇👇👇👇"
https://t.me/CheMed123\photos/photo_48@02-01-2023_10-02-55.jpg,2023-01-02T10:02:55,
https://t.me/CheMed123\photos/photo_49@03-01-2023_08-48-34.jpg,2023-01-03T08:48:34,✨ በ C h e - M e d  የ ጥ ሪ  ማ ዕ ከ ል  9 7 9 8  ላ ይ  ደ ው ለ ው   በ መ መ ዝ ገ ብ  በ የ ወ ሩ  የ ሚ ያ ስ ፈ ል ግ ዎ ት ን  ኢ ን ሱ ሊ ን  ቤ ት ዎ  በ ር  ድ ረ ስ  ያ ስ መ ጡ ።
https://t.me/CheMed123\photos/photo_50@03-01-2023_20-49-48.jpg,2023-01-03T20:49:48,"መድሃኒትዎን የሚያዙበትን መንገድ የሚያሳይ tiktok ቪዲዮ።

👇👇👇👇👇👇👇👇👇👇👇"
https://t.me/CheMed123\photos/photo_51@04-01-2023_08-58-02.jpg,2023-01-04T08:58:02,"Che-Med በደምበኞቻችን ፍላጎት መሰረት Nature made vitamin supplement ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist: Our call center: Follow our channel and stay tuned Che-Med the best way to find your meds!"
https://t.me/CheMed123\photos/photo_52@06-01-2023_09-05-01.jpg,2023-01-06T09:05:01,
https://t.me/CheMed123\photos/photo_53@06-01-2023_12-31-17.jpg,2023-01-06T12:31:17,🎄 C h e - M e d  ለ መ ላ ው  ክ ር ስ ት ያ ን  ቤ ተ ሰ ቦ ቻ ች ን  መ ል ካ ም  የ ገ ና  በ ዓ ል  እ ን ዲ ሆ ን ል ዎ  ይ መ ኛ ል ።   መ ል ካ ም  በ ዓ ል ! !
https://t.me/CheMed123\photos/photo_54@06-01-2023_19-06-21.jpg,2023-01-06T19:06:21,"tiktok ላይ እንንገርዎ።

ለማየት፡ በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist: Our call center: Follow our channel and stay tuned Che-Med the best way to find your meds!"
https://t.me/CheMed123\photos/photo_55@13-01-2023_12-44-14.jpg,2023-01-13T12:44:14,"Che-Med ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist: Our call center: Che-Med the best way to find your meds!"
https://t.me/CheMed123\photos/photo_56@13-01-2023_15-48-47.jpg,2023-01-13T15:48:47,"Che-Med ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist: Our call center: Che-Med the best way to find your meds!"
https://t.me/CheMed123\photos/photo_57@16-01-2023_12-26-09.jpg,2023-01-16T12:26:09,"⚠️ Dear esteemed customers,
Due to four-days motorbike movement restrictions, we have limited our services to matchmaking,drug information and medical consultation only. 🔅We will make deliveries for whom the medications are urgent.
🔅You can book deliveries starting from Friday, Jan 20."
https://t.me/CheMed123\photos/photo_58@16-01-2023_13-13-42.jpg,2023-01-16T13:13:42,🔵 Our pharmacist: Our call center: Website: Che-Med the best way to find your meds!
https://t.me/CheMed123\photos/photo_59@16-01-2023_16-41-35.jpg,2023-01-16T16:41:35,"held fruit-bearing discussion at radio program on Fana 98.1FM about digital health care and privacy and security of E-commerce.

We discussed in details current trends in digital healthcare, It's benefits, challenges, and opportunities.

You can listen to us at 08:00PM tonight and increase your understanding about the current activities of digital health care and its future.

Che-Med"
https://t.me/CheMed123\photos/photo_60@17-01-2023_11-43-12.jpg,2023-01-17T11:43:12,"🌞 .

Che-Med  ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist: Our call center: Che-Med is the best way to find your meds!"
https://t.me/CheMed123\photos/photo_61@23-01-2023_13-39-20.jpg,2023-01-23T13:39:20,"ለሰሞኑ ጉንፋን ማስታገሻ በአንደኝነት ተመራጭ የሆነውን Che-Med ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist: Our call center: Our website: Che-Med is the best way to find your meds!"
https://t.me/CheMed123\photos/photo_62@26-01-2023_21-27-53.jpg,2023-01-26T21:27:53,"The U.S. pharmaceutical industry is the largest in the world, making up about 40% of the worldwide drug development, manufacturing, and revenue generation. And half of the world’s top 10 pharmaceutical companies are in America, including the headquarters for Johnson & Johnson, Pfizer, Merck and Co., AbbVie, Eli Lilly and Co., and Abbott Laboratories. In fact, Johnson & Johnson’s revenue alone reached $82.6 billion in 2020."
https://t.me/CheMed123\photos/photo_63@27-01-2023_10-18-40.jpg,2023-01-27T10:18:40,Our pharmacist: Our call center: Our website:
https://t.me/CheMed123\photos/photo_64@30-01-2023_12-45-25.jpg,2023-01-30T12:45:25,"እንደ Ciprofloxacin, Doxycycline, Levothyroxine, Iron supplement ያሉ መድሃኒቶችን ከወተት እና ከወተት ተዋፅዖዎች ጋር እንዲሁም ከእንቁላል ጋር መውሰድ መድሃኒቶቹ በሰውነታችን የሚፈለገውን ስራ እንዳይሰሩ ያደርጋቸዋል።

ይህም በወተት ተዋጽኦዎች ውስጥ ያለው ካልሲየም እነዚህ መድሃኒቶች በሰውታችን ወስጥ እንዳይዋህዱ ጣልቃ ስለሚገባ ነው።"
https://t.me/CheMed123\photos/photo_65@31-01-2023_12-19-53.jpg,2023-01-31T12:19:53,"ምግብና መጠጦች አንዳንድ መድሃኒቶች በደንብ እንዳይሰሩ ሊያደርጉ ይችላሉ። በዚህ ሁኔታ እነዚህን መድሃኒቶች ምግብ ከወሰድን ከ1 ሰዓት እስከ 2 ሰዓት ባለ ጊዜ ውስጥ መውሰድ ያስፈልግዎታል።

ከነዚህም ወስጥ ይጠቀሳሉ።

መድሃኒትዎ ከምግብ ጋር ያለውን አወሳሰድ እርግጠኛ ካልሆኑ ሃኪምዎን ወይም ፋርማሲስትዎን ያማክሩ።"
